model_slug,maker_name,model_name,primary_class,support_tags,latest_available_year,overall_price_median,overall_high_price,classification_reason
nissan-presage,日産,プレサージュ,古い年式中心の車種,ミニバン,2009,10.8,23.9,latest_available_year<=2022
nissan-teana,日産,ティアナ,古い年式中心の車種,,2020,26.1,106.0,latest_available_year<=2022
nissan-tiida,日産,ティーダ,古い年式中心の車種,,2013,10.5,28.0,latest_available_year<=2022
suzuki-alto,スズキ,アルト,通常車種,軽自動車,2025,27.0,99.1,default
suzuki-alto-lapin,スズキ,アルトラパン,通常車種,軽自動車,2025,34.5,132.0,default
suzuki-alto-works,スズキ,アルトワークス,通常車種,軽自動車,2023,18.9,87.6,default
suzuki-every,スズキ,エブリイ,通常車種,商用車,2025,22.6,86.6,default
suzuki-every-wagon,スズキ,エブリイワゴン,通常車種,軽自動車|商用車,2026,41.5,158.3,default
suzuki-hustler,スズキ,ハスラー,通常車種,軽自動車,2026,58.5,162.0,default
suzuki-ignis,スズキ,イグニス,通常車種,,2024,70.1,157.5,default
suzuki-jimny,スズキ,ジムニー,通常車種,軽自動車,2025,66.9,203.5,default
suzuki-jimny-sierra,スズキ,ジムニーシエラ,通常車種,,2025,182.0,266.6,default
suzuki-solio,スズキ,ソリオ,通常車種,ミニバン,2025,50.0,198.0,default
suzuki-solio-bandit,スズキ,ソリオバンディット,通常車種,ミニバン,2025,72.3,191.5,default
suzuki-spacia,スズキ,スペーシア,通常車種,軽自動車,2025,48.6,148.0,default
suzuki-spacia-custom,スズキ,スペーシアカスタム,通常車種,軽自動車,2025,64.9,185.9,default
suzuki-spacia-gear,スズキ,スペーシアギア,通常車種,軽自動車,2025,134.0,178.5,default
suzuki-swift,スズキ,スイフト,通常車種,,2025,57.6,188.9,default
suzuki-wagon-r-custom-z,スズキ,ワゴンRカスタムZ,通常車種,軽自動車,2025,124.0,167.9,default
suzuki-wagon-r-smile,スズキ,ワゴンRスマイル,通常車種,軽自動車,2025,121.5,166.4,default
suzuki-wagon-r-stingray,スズキ,ワゴンRスティングレー,通常車種,軽自動車,2023,24.5,106.5,default
suzuki-xbee,スズキ,クロスビー,通常車種,,2025,132.0,191.0,default
subaru-chiffon,スバル,シフォン,通常車種,軽自動車,2025,87.0,161.0,default
subaru-forester,スバル,フォレスター,通常車種,,2025,64.8,362.5,default
subaru-impreza-g4,スバル,インプレッサG4,通常車種,,2025,42.0,140.5,default
subaru-impreza-sport,スバル,インプレッサスポーツ,通常車種,,2023,49.2,189.5,default
subaru-justy,スバル,ジャスティ,通常車種,,2023,73.1,151.0,default
subaru-legacy-outback,スバル,レガシィアウトバック,通常車種,,2025,49.9,360.7,default
subaru-levorg,スバル,レヴォーグ,通常車種,,2024,119.7,352.5,default
subaru-pleo-plus,スバル,プレオプラス,通常車種,軽自動車,2024,26.4,72.0,default
subaru-rex,スバル,レックス,通常車種,,2025,138.4,227.4,default
subaru-sambar-truck,スバル,サンバートラック,通常車種,商用車,2023,23.7,75.5,default
subaru-sambar-van,スバル,サンバーバン,通常車種,商用車,2024,25.5,86.2,default
subaru-stella,スバル,ステラ,通常車種,軽自動車,2023,27.0,86.2,default
subaru-xv,スバル,XV,通常車種,,2023,122.3,240.5,default
daihatsu-atrai,ダイハツ,アトレー,通常車種,,2025,136.5,174.0,default
daihatsu-atrai-deck-van,ダイハツ,アトレーデッキバン,通常車種,,2024,149.0,182.5,default
daihatsu-boon,ダイハツ,ブーン,通常車種,,2024,47.2,106.5,default
daihatsu-cast,ダイハツ,キャスト,通常車種,軽自動車,2023,58.0,124.7,default
daihatsu-hijet-cargo,ダイハツ,ハイゼットカーゴ,通常車種,商用車,2024,23.7,94.6,default
daihatsu-hijet-truck,ダイハツ,ハイゼットトラック,通常車種,商用車,2026,26.3,119.5,default
daihatsu-mira-cocoa,ダイハツ,ミラココア,通常車種,軽自動車,2023,21.9,73.0,default
daihatsu-mira-es,ダイハツ,ミライース,通常車種,軽自動車,2025,26.4,95.4,default
daihatsu-mira-tocot,ダイハツ,ミラトコット,通常車種,軽自動車,2024,78.7,121.5,default
daihatsu-move,ダイハツ,ムーヴ,通常車種,軽自動車,2023,26.8,103.5,default
daihatsu-move-canbus,ダイハツ,ムーヴキャンバス,通常車種,軽自動車,2025,88.8,170.5,default
daihatsu-move-custom,ダイハツ,ムーヴカスタム,通常車種,軽自動車,2024,30.4,121.5,default
daihatsu-rocky,ダイハツ,ロッキー,通常車種,,2025,159.9,233.8,default
daihatsu-taft,ダイハツ,タフト,通常車種,軽自動車,2025,122.5,164.5,default
daihatsu-tanto,ダイハツ,タント,通常車種,軽自動車,2025,37.5,156.5,default
daihatsu-tanto-custom,ダイハツ,タントカスタム,通常車種,軽自動車,2025,37.4,160.2,default
daihatsu-tanto-exe,ダイハツ,タントエグゼ,通常車種,軽自動車,2024,17.2,42.1,default
daihatsu-thor,ダイハツ,トール,通常車種,ミニバン,2025,80.0,174.5,default
toyota-aqua,トヨタ,アクア,通常車種,,2025,44.0,204.5,default
toyota-corolla,トヨタ,カローラ,通常車種,,2025,102.0,281.2,default
toyota-corolla-sport,トヨタ,カローラスポーツ,通常車種,,2025,158.3,250.3,default
toyota-corolla-touring,トヨタ,カローラツーリング,通常車種,,2025,157.0,267.9,default
toyota-crown,トヨタ,クラウン,通常車種,,2024,85.8,458.3,default
toyota-harrier,トヨタ,ハリアー,通常車種,,2025,176.5,439.0,default
toyota-noah,トヨタ,ノア,通常車種,ミニバン,2026,115.2,390.3,default
toyota-prius,トヨタ,プリウス,通常車種,,2025,68.3,392.0,default
toyota-rav4,トヨタ,RAV4,通常車種,,2025,196.1,406.5,default
toyota-roomy,トヨタ,ルーミー,通常車種,,2025,95.0,191.4,default
toyota-sienta,トヨタ,シエンタ,通常車種,ミニバン,2025,88.3,281.9,default
toyota-voxy,トヨタ,ヴォクシー,通常車種,ミニバン,2026,99.8,399.4,default
toyota-yaris,トヨタ,ヤリス,通常車種,,2025,129.8,217.3,default
toyota-yaris-cross,トヨタ,ヤリスクロス,通常車種,,2026,205.0,306.5,default
honda-civic,ホンダ,シビック,通常車種,,2025,140.7,368.5,default
honda-cr-v,ホンダ,CR-V,通常車種,,2023,183.4,445.6,default
honda-fit,ホンダ,フィット,通常車種,,2025,56.5,185.0,default
honda-freed,ホンダ,フリード,通常車種,ミニバン,2026,110.8,307.6,default
honda-insight,ホンダ,インサイト,通常車種,,2023,30.2,270.0,default
honda-n-box,ホンダ,N-BOX,通常車種,軽自動車,2026,34.9,146.5,default
honda-n-one,ホンダ,N-ONE,通常車種,軽自動車,2025,43.8,171.5,default
honda-n-van,ホンダ,N-VAN,通常車種,軽自動車|商用車,2025,86.3,183.0,default
honda-n-wgn,ホンダ,N-WGN,通常車種,軽自動車,2025,42.1,127.0,default
honda-odyssey,ホンダ,オデッセイ,通常車種,ミニバン,2024,61.0,362.5,default
honda-shuttle,ホンダ,シャトル,通常車種,,2023,74.2,191.5,default
honda-step-wgn,ホンダ,ステップワゴン,通常車種,ミニバン,2025,75.6,378.0,default
honda-vezel,ホンダ,ヴェゼル,通常車種,,2025,145.2,339.0,default
honda-wr-v,ホンダ,WR-V,通常車種,,2025,200.9,236.4,default
mazda-carol,マツダ,キャロル,通常車種,軽自動車,2024,24.5,74.3,default
mazda-cx-3,マツダ,CX-3,通常車種,,2025,114.0,234.0,default
mazda-cx-30,マツダ,CX-30,通常車種,,2025,178.0,264.0,default
mazda-cx-5,マツダ,CX-5,通常車種,,2025,113.2,295.3,default
mazda-demio,マツダ,デミオ,通常車種,,2024,28.9,87.6,default
mazda-familia-van,マツダ,ファミリアバン,通常車種,,2024,23.0,83.5,default
mazda-flare,マツダ,フレア,通常車種,軽自動車,2025,31.1,94.7,default
mazda-flare-crossover,マツダ,フレアクロスオーバー,通常車種,軽自動車,2025,66.5,153.5,default
mazda-flare-wagon,マツダ,フレアワゴン,通常車種,軽自動車,2025,64.8,161.4,default
mazda-mazda2,マツダ,MAZDA2,通常車種,,2025,115.5,177.6,default
mazda-mazda3-fastback,マツダ,MAZDA3 FASTBACK,通常車種,,2025,170.4,251.5,default
mazda-mazda3-sedan,マツダ,MAZDA3 SEDAN,通常車種,,2025,152.5,230.5,default
mazda-mazda6-sedan,マツダ,MAZDA6セダン,通常車種,,2024,174.7,300.5,default
mazda-mazda6-wagon,マツダ,MAZDA6ワゴン,通常車種,,2023,203.5,302.6,default
mazda-mx-30,マツダ,MX-30,通常車種,EV・FCV,2024,177.3,280.5,default
mazda-mx-30-rotary-ev,マツダ,MX-30ロータリーEV,通常車種,EV・FCV,2024,205.8,318.5,default
mazda-scrum-truck,マツダ,スクラムトラック,通常車種,商用車,2024,26.6,112.0,default
mazda-scrum-van,マツダ,スクラムバン,通常車種,商用車,2025,22.6,69.0,default
mitsubishi-delica-d5,三菱,デリカD:5,通常車種,ミニバン,2025,75.8,439.2,default
mitsubishi-delica-mini,三菱,デリカミニ,通常車種,軽自動車,2025,177.7,243.9,default
mitsubishi-eclipse-cross,三菱,エクリプス クロス,通常車種,,2025,216.1,345.5,default
mitsubishi-ek-cross,三菱,eKクロス,通常車種,軽自動車,2025,93.5,150.0,default
mitsubishi-ek-cross-ev,三菱,eKクロス EV,通常車種,軽自動車|EV・FCV,2024,108.1,182.9,default
mitsubishi-ek-wagon,三菱,eKワゴン,通常車種,軽自動車,2024,26.4,84.0,default
mitsubishi-mini-cab-truck,三菱,ミニキャブトラック,通常車種,商用車,2024,22.0,65.9,default
mitsubishi-mirage,三菱,ミラージュ,通常車種,,2023,27.5,88.3,default
mitsubishi-outlander-phev,三菱,アウトランダーPHEV,通常車種,EV・FCV,2024,119.3,302.0,default
mitsubishi-triton,三菱,トライトン,通常車種,,2025,84.0,423.3,default
nissan-caravan,日産,キャラバン,通常車種,商用車,2025,31.0,325.0,default
nissan-dayz,日産,デイズ,通常車種,軽自動車,2025,40.0,128.7,default
nissan-elgrand,日産,エルグランド,通常車種,ミニバン,2024,50.0,293.2,default
nissan-fuga,日産,フーガ,通常車種,,2024,29.5,162.0,default
nissan-kicks,日産,キックス,通常車種,,2025,150.6,283.1,default
nissan-leaf,日産,リーフ,通常車種,EV・FCV,2025,78.2,229.0,default
nissan-march,日産,マーチ,通常車種,,2023,30.6,103.0,default
nissan-note,日産,ノート,通常車種,,2025,43.0,161.3,default
nissan-note-aura,日産,ノートオーラ,通常車種,,2025,203.0,303.7,default
nissan-nv200-vanette,日産,NV200バネット,通常車種,商用車,2025,77.7,210.3,default
nissan-roox,日産,ルークス,通常車種,軽自動車,2025,74.9,167.5,default
nissan-sakura,日産,サクラ,通常車種,軽自動車|EV・FCV,2025,118.2,187.5,default
nissan-serena,日産,セレナ,通常車種,ミニバン,2025,47.1,306.5,default
nissan-skyline,日産,スカイライン,通常車種,,2024,67.2,381.2,default
nissan-x-trail,日産,エクストレイル,通常車種,,2025,60.5,294.5,default
suzuki-fronx,スズキ,フロンクス,高額・スポーツ系車種,,2025,229.2,264.0,overall_price_median>=220
suzuki-jimny-nomade,スズキ,ジムニーノマド,高額・スポーツ系車種,,2026,292.0,361.4,overall_price_median>=220
subaru-brz,スバル,BRZ,高額・スポーツ系車種,,2025,142.0,320.5,sports_or_premium_list
subaru-crosstrek,スバル,クロストレック,高額・スポーツ系車種,,2025,245.0,306.5,overall_price_median>=220
subaru-impreza-coupe,スバル,インプレッサクーペ,高額・スポーツ系車種,,2000,150.5,700.0,high_price>=500
subaru-impreza-wrx,スバル,インプレッサWRX,高額・スポーツ系車種,,2016,102.3,283.4,sports_or_premium_list
subaru-levorg-layback,スバル,レヴォーグレイバック,高額・スポーツ系車種,,2025,300.5,349.5,overall_price_median>=220
subaru-solterra,スバル,ソルテラ,高額・スポーツ系車種,EV・FCV,2023,309.8,395.0,overall_price_median>=220
daihatsu-copen,ダイハツ,コペン,高額・スポーツ系車種,軽自動車,2025,76.0,211.0,sports_or_premium_list
toyota-alphard,トヨタ,アルファード,高額・スポーツ系車種,ミニバン,2026,219.4,801.8,high_price>=500
toyota-bz4x,トヨタ,bZ4X,高額・スポーツ系車種,EV・FCV,2025,244.4,407.2,overall_price_median>=220
toyota-corolla-cross,トヨタ,カローラクロス,高額・スポーツ系車種,,2025,261.6,354.1,overall_price_median>=220
toyota-crown-sport,トヨタ,クラウンスポーツ,高額・スポーツ系車種,,2025,520.8,642.5,overall_price_median>=220 / high_price>=500
toyota-gr-corolla,トヨタ,GRカローラ,高額・スポーツ系車種,,2025,506.5,715.0,sports_or_premium_list / overall_price_median>=220 / high_price>=500
toyota-gr-yaris,トヨタ,GRヤリス,高額・スポーツ系車種,,2025,340.6,484.2,sports_or_premium_list / overall_price_median>=220
toyota-gr86,トヨタ,GR86,高額・スポーツ系車種,,2025,271.4,344.5,sports_or_premium_list / overall_price_median>=220
toyota-land-cruiser-250,トヨタ,ランドクルーザー250,高額・スポーツ系車種,,2026,652.5,903.8,overall_price_median>=220 / high_price>=500
toyota-land-cruiser-300,トヨタ,ランドクルーザー300,高額・スポーツ系車種,,2025,900.5,1233.0,overall_price_median>=220 / high_price>=500
toyota-land-cruiser-70,トヨタ,ランドクルーザー70,高額・スポーツ系車種,,2025,257.8,804.0,overall_price_median>=220 / high_price>=500
toyota-mirai,トヨタ,MIRAI,高額・スポーツ系車種,EV・FCV,2024,252.4,487.5,overall_price_median>=220
toyota-supra,トヨタ,スープラ,高額・スポーツ系車種,,2025,423.8,776.0,sports_or_premium_list / overall_price_median>=220 / high_price>=500
toyota-vellfire,トヨタ,ヴェルファイア,高額・スポーツ系車種,ミニバン,2025,192.5,818.0,high_price>=500
honda-beat,ホンダ,ビート,高額・スポーツ系車種,軽自動車,1995,30.4,85.0,sports_or_premium_list
honda-civic-type-r,ホンダ,シビックタイプR,高額・スポーツ系車種,,2025,130.0,542.0,sports_or_premium_list / high_price>=500
honda-cr-x,ホンダ,CR-X,高額・スポーツ系車種,,2018,65.3,204.1,sports_or_premium_list
honda-integra,ホンダ,インテグラ,高額・スポーツ系車種,,2006,22.6,87.0,sports_or_premium_list
honda-nsx,ホンダ,NSX,高額・スポーツ系車種,,2020,1080.5,2701.0,sports_or_premium_list / overall_price_median>=220 / high_price>=500
honda-prelude,ホンダ,プレリュード,高額・スポーツ系車種,,2009,24.5,133.0,sports_or_premium_list
honda-s2000,ホンダ,S2000,高額・スポーツ系車種,,2010,257.5,495.0,sports_or_premium_list / overall_price_median>=220
honda-s660,ホンダ,S660,高額・スポーツ系車種,軽自動車,2022,166.0,327.5,sports_or_premium_list
honda-zr-v,ホンダ,ZR-V,高額・スポーツ系車種,,2025,283.2,356.9,overall_price_median>=220
mazda-cx-60,マツダ,CX-60,高額・スポーツ系車種,,2025,316.5,438.0,overall_price_median>=220
mazda-cx-80,マツダ,CX-80,高額・スポーツ系車種,,2025,395.5,486.5,overall_price_median>=220
mazda-roadster,マツダ,ロードスター,高額・スポーツ系車種,,2025,121.2,295.0,sports_or_premium_list
mazda-roadster-rf,マツダ,ロードスターRF,高額・スポーツ系車種,,2023,225.5,330.4,sports_or_premium_list / overall_price_median>=220
mazda-rx-7,マツダ,RX-7,高額・スポーツ系車種,,2012,194.0,545.0,sports_or_premium_list / high_price>=500
mazda-rx-8,マツダ,RX-8,高額・スポーツ系車種,,2013,36.0,187.0,sports_or_premium_list
mazda-savanna-rx-7,マツダ,サバンナRX-7,高額・スポーツ系車種,,1990,163.5,193.7,sports_or_premium_list
mitsubishi-lancer-evolution,三菱,ランサーエボリューション,高額・スポーツ系車種,,2019,182.0,435.5,sports_or_premium_list
mitsubishi-lancer-evolution-wagon,三菱,ランサーエボリューションワゴン,高額・スポーツ系車種,,2009,103.5,240.5,sports_or_premium_list
nissan-ariya,日産,アリア,高額・スポーツ系車種,EV・FCV,2024,382.2,631.5,overall_price_median>=220 / high_price>=500
nissan-fairlady-z,日産,フェアレディZ,高額・スポーツ系車種,,2025,104.0,560.5,sports_or_premium_list / high_price>=500
nissan-gt-r,日産,GT-R,高額・スポーツ系車種,,2025,762.8,2139.5,sports_or_premium_list / overall_price_median>=220 / high_price>=500
nissan-silvia,日産,シルビア,高額・スポーツ系車種,,2003,122.5,341.5,sports_or_premium_list
